,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
2,69219-42104,RB,Alvin,Alvin Kamara,Kamara,16.860000610351562,10.0,8700,MIA@NO,NO,MIA,,,,,,RB/FLEX
3,69219-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,14.204285757882257,14.0,7000,WAS@DAL,DAL,WAS,,,,,,RB/FLEX
4,69219-90933,RB,Antonio,Antonio Gibson,Gibson,12.407142639160154,14.0,6800,WAS@DAL,WAS,DAL,Q,Toe,,,,RB/FLEX
5,69219-63759,RB,Tony,Tony Pollard,Pollard,9.984615619365986,13.0,6000,WAS@DAL,DAL,WAS,,,,,,RB/FLEX
6,69219-60930,RB,Myles,Myles Gaskin,Gaskin,10.157142639160156,14.0,5900,MIA@NO,MIA,NO,,,,,,RB/FLEX
7,69219-25837,RB,Duke,Duke Johnson,Johnson,13.5,2.0,5800,MIA@NO,MIA,NO,,,,,,RB/FLEX
8,69219-14211,RB,Mark,Mark Ingram II,Ingram II,7.1846155019906845,13.0,5400,MIA@NO,NO,MIA,,,,,,RB/FLEX
9,69219-88699,RB,Jaret,Jaret Patterson,Patterson,2.2545453851873223,11.0,4900,WAS@DAL,WAS,DAL,,,,,,RB/FLEX
