0,1,2,3,4,5,6,7,8
1,2,3,13,14,15,16,12,0
1,2,3,13,14,15,17,12,0
1,2,3,13,14,15,18,10,0
1,2,3,13,14,15,18,11,0
1,2,3,13,14,15,18,12,0
1,2,3,13,14,15,19,10,0
1,2,3,13,14,15,19,11,0
1,2,3,13,14,15,19,12,0
1,2,3,13,14,15,20,10,0
1,2,3,13,14,15,20,11,0
1,2,3,13,14,15,20,12,0
1,2,3,13,14,15,21,10,0
1,2,3,13,14,15,21,11,0
1,2,3,13,14,15,21,12,0
1,2,3,13,14,15,22,10,0
1,2,3,13,14,15,22,11,0
1,2,3,13,14,15,22,12,0
1,2,3,13,14,15,23,10,0
1,2,3,13,14,15,23,11,0
1,2,3,13,14,15,23,12,0
1,2,3,13,14,15,24,10,0
1,2,3,13,14,15,24,11,0
1,2,3,13,14,15,24,12,0
1,2,3,13,14,16,17,10,0
1,2,3,13,14,16,17,11,0
1,2,3,13,14,16,17,12,0
1,2,3,13,14,16,18,10,0
1,2,3,13,14,16,18,11,0
1,2,3,13,14,16,18,12,0
1,2,3,13,14,16,19,10,0
1,2,3,13,14,16,19,11,0
1,2,3,13,14,16,19,12,0
1,2,3,13,14,16,20,10,0
1,2,3,13,14,16,20,11,0
1,2,3,13,14,16,20,12,0
1,2,3,13,14,16,21,10,0
1,2,3,13,14,16,21,11,0
1,2,3,13,14,16,21,12,0
1,2,3,13,14,16,22,10,0
1,2,3,13,14,16,22,11,0
1,2,3,13,14,16,22,12,0
1,2,3,13,14,16,23,10,0
1,2,3,13,14,16,23,11,0
1,2,3,13,14,16,23,12,0
1,2,3,13,14,16,24,10,0
1,2,3,13,14,16,24,11,0
1,2,3,13,14,16,24,12,0
1,2,3,13,14,17,18,10,0
1,2,3,13,14,17,18,11,0
1,2,3,13,14,17,18,12,0
1,2,3,13,14,17,19,10,0
1,2,3,13,14,17,19,11,0
1,2,3,13,14,17,19,12,0
1,2,3,13,14,17,20,10,0
1,2,3,13,14,17,20,11,0
1,2,3,13,14,17,20,12,0
1,2,3,13,14,17,21,10,0
1,2,3,13,14,17,21,11,0
1,2,3,13,14,17,21,12,0
1,2,3,13,14,17,22,10,0
1,2,3,13,14,17,22,11,0
1,2,3,13,14,17,22,12,0
1,2,3,13,14,17,23,10,0
1,2,3,13,14,17,23,11,0
1,2,3,13,14,17,23,12,0
1,2,3,13,14,17,24,10,0
1,2,3,13,14,17,24,11,0
1,2,3,13,14,17,24,12,0
1,2,3,13,14,18,19,10,0
1,2,3,13,14,18,19,11,0
